,Retorno_alvo,Sinal
2017-03-13,-0.00288026395735919,1
2017-03-14,0.019883186923177,1
2017-03-15,0.019075195181400998,1
2017-03-16,0.029513810173621202,1
2017-03-23,0.032109900094732,-1
2017-03-24,0.0272263493472671,-1
2017-03-27,0.005058897790811479,-1
2017-03-28,0.00222964160591865,-1
2017-03-29,-0.007150766036970399,-1
2017-03-30,-0.0147783918168654,-1
2017-03-31,-0.033991095454695704,-1
2017-04-07,0.00277003620976557,1
2017-04-10,-0.00111116686635948,1
2017-04-11,0.0232692258707397,1
2017-04-12,0.0367856520071037,1
2017-04-13,0.0253377838655915,1
2017-04-24,0.0554629054899183,-1
2017-04-25,0.0316595103683084,-1
2017-04-26,0.0373422716011778,-1
2017-04-27,0.0412088271948299,-1
2017-04-28,0.0509311629765219,-1
2017-05-08,0.0397032215503232,1
2017-05-09,-0.00791566842244251,1
2017-05-10,-0.029703115242466903,1
2017-05-11,-0.0491555937515473,1
2017-05-12,-0.04062963825932871,1
2017-05-22,0.00753930079325738,-1
2017-05-23,-0.0179992488166552,-1
2017-05-24,-0.0153766950841113,-1
2017-05-25,-0.000528508614826451,-1
2017-05-26,0.00210181436760926,-1
2017-05-29,-0.009984324026656501,-1
2017-06-05,-0.038603897654705996,1
2017-06-06,-0.0466701009127202,1
2017-06-07,-0.056263183049416694,1
2017-06-08,-0.0356180069893639,1
2017-06-09,-0.00220883503111002,1
2017-06-12,0.00276543950907526,1
2017-06-19,0.0331251728277104,-1
2017-06-20,0.018898978521480602,-1
2017-06-21,0.018865633355214,-1
2017-06-22,0.0132842093157906,-1
2017-06-23,0.00884962594393057,-1
2017-06-26,-0.00273672142376558,-1
2017-06-27,-0.0278841143740322,-1
2017-07-04,0.0241228550366039,1
2017-07-05,0.0290890500360108,1
2017-07-06,0.059617570337100904,1
2017-07-07,0.04051053092551651,1
2017-07-10,0.0278537209459442,1
2017-07-11,0.014039112885351,1
2017-07-12,0.008579034407271589,1
2017-07-19,0.0148777110277867,-1
2017-07-20,0.0197016962497529,-1
2017-07-21,0.022860085839745,-1
2017-07-24,0.0308182251783242,-1
2017-07-25,0.020127086399500903,-1
2017-07-26,0.022835922155916,-1
2017-07-27,0.012558935321262501,-1
2017-08-03,0.0233643780431263,1
2017-08-04,0.026998949495545398,1
2017-08-07,0.0237725222610283,1
2017-08-08,0.020629318754206597,1
2017-08-09,0.0175077194656217,1
2017-08-10,0.0175258858016678,1
2017-08-18,0.00708486982110346,-1
2017-08-21,0.00709204831032184,-1
2017-08-22,0.00556974349419059,-1
2017-08-23,-0.00403214893233916,-1
2017-08-24,-0.00353511106987159,-1
2017-08-25,-0.0015114546780172799,-1
2017-09-01,0.0632589693745627,1
2017-09-04,0.073491865354639,1
2017-09-05,0.0691222811630703,1
2017-09-06,0.0660705860255717,1
2017-09-07,0.0531546542729158,1
2017-09-08,0.064676536456111,1
2017-09-18,-0.00471702334303015,-1
2017-09-19,-0.0158877976071824,-1
2017-09-20,-0.0204839563561235,-1
2017-09-21,-0.030898832343275798,-1
